goemotion_label,pac_sector,pac_name,pac_angle_deg,justification_short,notes
admiration,IV,Deactivated Pleasure,320.5,Respectful/serene positive affect aligns with Deactivated Pleasure.,
amusement,III,Pleasure,0.0,Pleased/amused maps to pure Pleasant (low arousal cue).,
anger,X,Activated Displeasure,152.5,Upset/distressed negative with high activation → Activated Displeasure.,
annoyance,XI,Unpleasant Activation,125.0,Irritated/jittery negative → Unpleasant Activation.,
approval,III,Pleasure,0.0,Satisfaction/pleased corresponds to Pleasure axis.,
caring,V,Pleasant Deactivation,301.0,Warm/affectionate fits Pleasant Deactivation (calm positive).,
confusion,XI,Unpleasant Activation,125.0,Agitated/uncertain tends toward unpleasant activation.,
curiosity,II,Activated Pleasure,62.0,Attentive/engaged tends to ‘Activated Pleasure’ rather than neutral activation.,
desire,I,Pleasant Activation,34.5,Eager/approach motivation corresponds to Pleasant Activation (activation primary).,
disappointment,IX,Displeasure,179.5,Unhappy/dissatisfied → Displeasure axis.,
disapproval,IX,Displeasure,179.5,Displeased/unhappy judgment → Displeasure axis.,
disgust,IX,Displeasure,179.5,Repulsed/displeased with moderate activation → Displeasure axis.,
embarrassment,XI,Unpleasant Activation,125.0,Self-conscious/nervous → Unpleasant Activation.,
excitement,I,Pleasant Activation,34.5,Energetic/excited is the exemplar of Pleasant Activation.,
fear,XI,Unpleasant Activation,125.0,Anxious/jittery → Unpleasant Activation.,
gratitude,V,Pleasant Deactivation,301.0,Thankful/calm state maps to Pleasant Deactivation.,
grief,VIII,Deactivated Displeasure,192.0,Grief is intense sadness → Deactivated Displeasure.,
joy,II,Activated Pleasure,62.0,Elated/enthusiastic is canonical ‘Activated Pleasure’.,
love,III,Pleasure,0.0,General ‘love’ (warm liking) sits on Pleasure axis.,
nervousness,XI,Unpleasant Activation,125.0,Tense/jittery → Unpleasant Activation.,
optimism,V,Pleasant Deactivation,301.0,Hopeful/assured calm fits Pleasant Deactivation.,
pride,II,Activated Pleasure,62.0,Pleased-with-self often high-activation positive → Activated Pleasure.,
realization,XII,Activation,90.5,Alertness/insight without clear valence → Activation axis.,
relief,IV,Deactivated Pleasure,320.5,Tension release → Deactivated Pleasure (serene/peaceful).,
remorse,IX,Displeasure,179.5,Regret/guilt nearer displeasure than sadness → Displeasure axis.,
sadness,VIII,Deactivated Displeasure,192.0,Sad/gloomy → Deactivated Displeasure.,
surprise,XII,Activation,90.5,High activation with mixed valence; placed on Activation by convention.,
