goemotion_label,pac_sector,pac_name,pac_angle_deg,justification_short,notes,valence,arousal,dominance
admiration,IV,Deactivated Pleasure,320.5,Respectful/serene positive affect aligns with Deactivated Pleasure.,,0.938,0.166,0.452
amusement,III,Pleasure,0.0,Pleased/amused maps to pure Pleasant (low arousal cue).,,0.858,0.674,0.606
anger,X,Activated Displeasure,152.5,Upset/distressed negative with high activation → Activated Displeasure.,,-0.666,0.73,0.314
annoyance,XI,Unpleasant Activation,125.0,Irritated/jittery negative → Unpleasant Activation.,,-0.666,0.436,-0.316
approval,III,Pleasure,0.0,Satisfaction/pleased corresponds to Pleasure axis.,,0.708,-0.08,0.778
caring,V,Pleasant Deactivation,301.0,Warm/affectionate fits Pleasant Deactivation (calm positive).,,0.27,-0.062,0.0
confusion,XI,Unpleasant Activation,125.0,Agitated/uncertain tends toward unpleasant activation.,,-0.49,0.334,-0.446
curiosity,II,Activated Pleasure,62.0,Attentive/engaged tends to ‘Activated Pleasure’ rather than neutral activation.,,0.5,0.51,-0.074
desire,I,Pleasant Activation,34.5,Eager/approach motivation corresponds to Pleasant Activation (activation primary).,,0.792,0.384,0.294
disappointment,IX,Displeasure,179.5,Unhappy/dissatisfied → Displeasure axis.,,-0.77,-0.02,-0.328
disapproval,IX,Displeasure,179.5,Displeased/unhappy judgment → Displeasure axis.,,-0.83,0.102,-0.266
disgust,IX,Displeasure,179.5,Repulsed/displeased with moderate activation → Displeasure axis.,,-0.896,0.55,-0.366
embarrassment,XI,Unpleasant Activation,125.0,Self-conscious/nervous → Unpleasant Activation.,,-0.714,0.37,-0.548
excitement,I,Pleasant Activation,34.5,Energetic/excited is the exemplar of Pleasant Activation.,,0.792,0.368,0.462
fear,XI,Unpleasant Activation,125.0,Anxious/jittery → Unpleasant Activation.,,-0.854,0.68,-0.414
gratitude,V,Pleasant Deactivation,301.0,Thankful/calm state maps to Pleasant Deactivation.,,0.77,-0.118,0.22
grief,VIII,Deactivated Displeasure,192.0,Grief is intense sadness → Deactivated Displeasure.,,-0.86,0.28,-0.052
joy,II,Activated Pleasure,62.0,Elated/enthusiastic is canonical ‘Activated Pleasure’.,,0.96,0.648,0.588
love,III,Pleasure,0.0,General ‘love’ (warm liking) sits on Pleasure axis.,,1.0,0.038,0.346
nervousness,XI,Unpleasant Activation,125.0,Tense/jittery → Unpleasant Activation.,,-0.674,0.83,-0.518
optimism,V,Pleasant Deactivation,301.0,Hopeful/assured calm fits Pleasant Deactivation.,,0.898,0.13,0.628
pride,II,Activated Pleasure,62.0,Pleased-with-self often high-activation positive → Activated Pleasure.,,0.458,0.268,0.696
realization,XII,Activation,90.5,Alertness/insight without clear valence → Activation axis.,,0.108,0.02,0.672
relief,IV,Deactivated Pleasure,320.5,Tension release → Deactivated Pleasure (serene/peaceful).,,0.688,-0.444,-0.038
remorse,IX,Displeasure,179.5,Regret/guilt nearer displeasure than sadness → Displeasure axis.,,-0.794,0.346,-0.246
sadness,VIII,Deactivated Displeasure,192.0,Sad/gloomy → Deactivated Displeasure.,,-0.896,-0.424,-0.672
surprise,XII,Activation,90.5,High activation with mixed valence; placed on Activation by convention.,,0.75,0.75,0.124
